Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-55743.579968,nan,nan,0.946,-0.046,0.139,nan,nan
-55743.620513,nan,nan,0.946,-0.051,0.135,nan,nan
-55743.661058,nan,nan,0.942,-0.051,0.135,nan,nan
-55743.701603,nan,nan,0.942,-0.046,0.135,nan,nan
-55743.742147,nan,nan,0.938,-0.051,0.131,nan,nan
-55743.782692,nan,nan,0.942,-0.051,0.135,nan,nan
-55743.823237,nan,nan,0.942,-0.051,0.135,nan,nan
-55743.863782,nan,nan,0.946,-0.046,0.139,nan,nan
-55743.904327,nan,nan,0.938,-0.046,0.131,nan,nan
-55743.944872,nan,nan,0.942,-0.051,0.131,nan,nan
-55743.985417,nan,nan,0.934,-0.055,0.135,nan,nan
-55744.025962,nan,nan,0.942,-0.046,0.135,nan,nan
